path,method,handler_file,auth_required,role_required,type
/:id,GET,server/dist/server/src/routes/tables.routes.js,False,,express
/,POST,server/dist/server/src/routes/tables.routes.js,False,,express
/batch,PUT,server/dist/server/src/routes/tables.routes.js,False,,express
/:id,PUT,server/dist/server/src/routes/tables.routes.js,False,,express
/:id,DELETE,server/dist/server/src/routes/tables.routes.js,False,,express
/:id/status,PATCH,server/dist/server/src/routes/tables.routes.js,False,,express
/:tableId/check,GET,server/dist/server/src/routes/table-payment.routes.js,True,,express
/:tableId/present-check,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/:tableId/unlock-check,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/table/:tableId/calculate-tip,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/table/:tableId/process,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/table/:tableId/split,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/split/:sessionId,GET,server/dist/server/src/routes/table-payment.routes.js,True,,express
/split/:sessionId/pay/:splitId,POST,server/dist/server/src/routes/table-payment.routes.js,True,,express
/split/:sessionId/allocate,PUT,server/dist/server/src/routes/table-payment.routes.js,True,,express
/split/:sessionId,DELETE,server/dist/server/src/routes/table-payment.routes.js,True,,express
/table/:tableId/status,GET,server/dist/server/src/routes/table-payment.routes.js,True,,express
/session,POST,server/dist/server/src/routes/realtime.routes.js,True,,express
/health,GET,server/dist/server/src/routes/realtime.routes.js,True,,express
/menu,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/menu,GET,server/dist/server/src/routes/ai.routes.js,True,,express
/transcribe,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/transcribe-with-metadata,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/parse-order,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/voice-chat,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/chat,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/health,GET,server/dist/server/src/routes/ai.routes.js,True,,express
/test-tts,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/test-transcribe,POST,server/dist/server/src/routes/ai.routes.js,True,,express
/voice,USE,server/dist/server/src/routes/ai.routes.js,True,,express
/events,GET,server/dist/server/src/routes/security.routes.js,True,,express
/stats,GET,server/dist/server/src/routes/security.routes.js,True,,express
/test,POST,server/dist/server/src/routes/security.routes.js,True,,express
/config,GET,server/dist/server/src/routes/security.routes.js,True,,express
/register,POST,server/dist/server/src/routes/users.routes.js,True,,express
/,GET,server/dist/server/src/routes/users.routes.js,True,,express
/:id,GET,server/dist/server/src/routes/users.routes.js,True,,express
/:id,PUT,server/dist/server/src/routes/users.routes.js,True,,express
/:id/role,POST,server/dist/server/src/routes/users.routes.js,True,,express
/:id/pin,POST,server/dist/server/src/routes/users.routes.js,True,,express
/:id,DELETE,server/dist/server/src/routes/users.routes.js,True,,express
/:id/permissions,GET,server/dist/server/src/routes/users.routes.js,True,,express
/authenticate-pin,POST,server/dist/server/src/routes/users.routes.js,True,,express
/:id,GET,server/dist/server/src/routes/restaurants.routes.js,False,,express
/api/v1/menu,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/tables,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/restaurants,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/auth,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/realtime,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/terminal,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,,express
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,,express
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,,express
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,,express
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,,express
/api/v1/ai,USE,server/dist/server/src/routes/__tests__/ai.health.test.js,True,,express
/api/,USE,server/dist/server/src/routes/__tests__/security.test.js,False,,express
/api/v1/orders/voice,USE,server/dist/server/src/routes/__tests__/security.test.js,False,,express
/api/v1,USE,server/dist/server/src/routes/__tests__/security.test.js,False,,express
/api/v1/orders,USE,server/dist/server/src/routes/__tests__/orders.rctx.test.js,True,,express
/api/v1,USE,server/dist/server/src/routes/__tests__/table-payment.routes.test.js,False,,express
/api/voice/debug,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/sessions,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/metrics,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/transcripts,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/functions,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/errors,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/test,POST,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/inject,POST,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/clear,POST,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/export,GET,server/dist/voice/debug-dashboard.js,False,,express
/api/voice/debug/audio/:sessionId,GET,server/dist/voice/debug-dashboard.js,False,,express
/voice/incoming,POST,server/dist/voice/twilio-bridge.js,False,,express
/voice/status,POST,server/dist/voice/twilio-bridge.js,False,,express
/voice/health,GET,server/dist/voice/twilio-bridge.js,False,,express
/voice/sessions,GET,server/dist/voice/twilio-bridge.js,False,,express
/,GET,server/dist/api/routes/tables.js,False,,express
/:id,GET,server/dist/api/routes/tables.js,False,,express
/,POST,server/dist/api/routes/tables.js,False,,express
/:id,PUT,server/dist/api/routes/tables.js,False,,express
/:id,DELETE,server/dist/api/routes/tables.js,False,,express
/:id/status,PATCH,server/dist/api/routes/tables.js,False,,express
/batch,PUT,server/dist/api/routes/tables.js,False,,express
/checkout,POST,server/dist/routes/terminal.routes.js,True,,express
/checkout/:checkoutId,GET,server/dist/routes/terminal.routes.js,True,,express
/checkout/:checkoutId/cancel,POST,server/dist/routes/terminal.routes.js,True,,express
/checkout/:checkoutId/complete,POST,server/dist/routes/terminal.routes.js,True,,express
/devices,GET,server/dist/routes/terminal.routes.js,True,,express
/create,POST,server/dist/routes/payments.routes.js,True,,express
/:paymentId,GET,server/dist/routes/payments.routes.js,True,,express
/:paymentId/refund,POST,server/dist/routes/payments.routes.js,True,,express
/,GET,server/dist/routes/orders.routes.js,True,,express
/,POST,server/dist/routes/orders.routes.js,True,,express
/voice,POST,server/dist/routes/orders.routes.js,True,,express
/:id,GET,server/dist/routes/orders.routes.js,True,,express
/:id/status,PATCH,server/dist/routes/orders.routes.js,True,,express
/:id,DELETE,server/dist/routes/orders.routes.js,True,,express
/,GET,server/dist/routes/menu.routes.js,False,,express
/items,GET,server/dist/routes/menu.routes.js,False,,express
/items/:id,GET,server/dist/routes/menu.routes.js,False,,express
/categories,GET,server/dist/routes/menu.routes.js,False,,express
/sync-ai,POST,server/dist/routes/menu.routes.js,False,,express
/cache/clear,POST,server/dist/routes/menu.routes.js,False,,express
/,GET,server/dist/routes/health.routes.js,False,,express
/status,GET,server/dist/routes/health.routes.js,False,,express
/ready,GET,server/dist/routes/health.routes.js,False,,express
/live,GET,server/dist/routes/health.routes.js,False,,express
/healthz,GET,server/dist/routes/health.routes.js,False,,express
/kiosk,POST,server/dist/routes/auth.routes.js,True,,express
/login,POST,server/dist/routes/auth.routes.js,True,,express
/pin-login,POST,server/dist/routes/auth.routes.js,True,,express
/station-login,POST,server/dist/routes/auth.routes.js,True,,express
/logout,POST,server/dist/routes/auth.routes.js,True,,express
/me,GET,server/dist/routes/auth.routes.js,True,,express
/refresh,POST,server/dist/routes/auth.routes.js,True,,express
/set-pin,POST,server/dist/routes/auth.routes.js,True,,express
/revoke-stations,POST,server/dist/routes/auth.routes.js,True,,express
/metrics,POST,server/dist/routes/metrics.js,False,,express
/health,GET,server/dist/routes/metrics.js,False,,express
/health/detailed,GET,server/dist/routes/metrics.js,False,,express
/test/error,POST,server/dist/routes/metrics.js,False,,express
/,USE,server/dist/routes/index.js,False,,express
/,USE,server/dist/routes/index.js,False,,express
/auth,USE,server/dist/routes/index.js,False,,express
/menu,USE,server/dist/routes/index.js,False,,express
/orders,USE,server/dist/routes/index.js,False,,express
/payments,USE,server/dist/routes/index.js,False,,express
/terminal,USE,server/dist/routes/index.js,False,,express
/tables,USE,server/dist/routes/index.js,False,,express
/ai,USE,server/dist/routes/index.js,False,,express
/restaurants,USE,server/dist/routes/index.js,False,,express
/realtime,USE,server/dist/routes/index.js,False,,express
/,GET,server/dist/routes/tables.routes.js,False,,express
/:id,GET,server/dist/routes/tables.routes.js,False,,express
/,POST,server/dist/routes/tables.routes.js,False,,express
/batch,PUT,server/dist/routes/tables.routes.js,False,,express
/:id,PUT,server/dist/routes/tables.routes.js,False,,express
/:id,DELETE,server/dist/routes/tables.routes.js,False,,express
/:id/status,PATCH,server/dist/routes/tables.routes.js,False,,express
/session,POST,server/dist/routes/realtime.routes.js,True,,express
/health,GET,server/dist/routes/realtime.routes.js,True,,express
/menu,POST,server/dist/routes/ai.routes.js,True,,express
/menu,GET,server/dist/routes/ai.routes.js,True,,express
/transcribe,POST,server/dist/routes/ai.routes.js,True,,express
/transcribe-with-metadata,POST,server/dist/routes/ai.routes.js,True,,express
/parse-order,POST,server/dist/routes/ai.routes.js,True,,express
/voice-chat,POST,server/dist/routes/ai.routes.js,True,,express
/chat,POST,server/dist/routes/ai.routes.js,True,,express
/health,GET,server/dist/routes/ai.routes.js,True,,express
/test-tts,POST,server/dist/routes/ai.routes.js,True,,express
/test-transcribe,POST,server/dist/routes/ai.routes.js,True,,express
/voice,USE,server/dist/routes/ai.routes.js,True,,express
/:id,GET,server/dist/routes/restaurants.routes.js,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.idempotency.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/test,POST,server/tests/orders.token-replay.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/webhook,POST,server/tests/webhook.signature.test.ts,False,,express
/api/v1/orders,POST,server/tests/integration/tenancy.spec.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/internal/metrics,GET,server/src/server.ts,True,'admin',express
/api/,USE,server/src/server.ts,True,'admin',express
/api/v1/orders/voice,USE,server/src/server.ts,True,'admin',express
/health,USE,server/src/server.ts,True,'admin',express
/api/v1,USE,server/src/server.ts,True,'admin',express
/api/v1/ai,USE,server/src/server.ts,True,'admin',express
/api/v1/realtime,USE,server/src/server.ts,True,'admin',express
/health,GET,server/src/server.ts,True,'admin',express
/voice/incoming,POST,server/src/voice/twilio-bridge.ts,False,,express
/voice/status,POST,server/src/voice/twilio-bridge.ts,False,,express
/voice/health,GET,server/src/voice/twilio-bridge.ts,False,,express
/voice/sessions,GET,server/src/voice/twilio-bridge.ts,False,,express
/api/voice/debug,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/sessions,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/metrics,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/transcripts,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/functions,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/errors,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/test,POST,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/inject,POST,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/clear,POST,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/export,GET,server/src/voice/debug-dashboard.ts,False,,express
/api/voice/debug/audio/:sessionId,GET,server/src/voice/debug-dashboard.ts,False,,express
/,GET,server/src/api/routes/tables.ts,False,,express
/:id,GET,server/src/api/routes/tables.ts,False,,express
/,POST,server/src/api/routes/tables.ts,False,,express
/:id,PUT,server/src/api/routes/tables.ts,False,,express
/:id,DELETE,server/src/api/routes/tables.ts,False,,express
/:id/status,PATCH,server/src/api/routes/tables.ts,False,,express
/batch,PUT,server/src/api/routes/tables.ts,False,,express
/menu,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/menu,GET,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/transcribe,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/transcribe-with-metadata,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/parse-order,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/voice-chat,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/chat,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/health,GET,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/test-tts,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/test-transcribe,POST,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/voice,USE,server/src/routes/ai.routes.ts,True,"'admin', 'manager'",express
/session,POST,server/src/routes/realtime.routes.ts,True,,express
/health,GET,server/src/routes/realtime.routes.ts,True,,express
/,GET,server/src/routes/tables.routes.ts,False,,express
/:id,GET,server/src/routes/tables.routes.ts,False,,express
/,POST,server/src/routes/tables.routes.ts,False,,express
/batch,PUT,server/src/routes/tables.routes.ts,False,,express
/:id,PUT,server/src/routes/tables.routes.ts,False,,express
/:id,DELETE,server/src/routes/tables.routes.ts,False,,express
/:id/status,PATCH,server/src/routes/tables.routes.ts,False,,express
/:tableId/check,GET,server/src/routes/table-payment.routes.ts,True,,express
/:tableId/present-check,POST,server/src/routes/table-payment.routes.ts,True,,express
/:tableId/unlock-check,POST,server/src/routes/table-payment.routes.ts,True,,express
/table/:tableId/calculate-tip,POST,server/src/routes/table-payment.routes.ts,True,,express
/table/:tableId/process,POST,server/src/routes/table-payment.routes.ts,True,,express
/table/:tableId/split,POST,server/src/routes/table-payment.routes.ts,True,,express
/split/:sessionId,GET,server/src/routes/table-payment.routes.ts,True,,express
/split/:sessionId/pay/:splitId,POST,server/src/routes/table-payment.routes.ts,True,,express
/split/:sessionId/allocate,PUT,server/src/routes/table-payment.routes.ts,True,,express
/split/:sessionId,DELETE,server/src/routes/table-payment.routes.ts,True,,express
/table/:tableId/status,GET,server/src/routes/table-payment.routes.ts,True,,express
/:id,GET,server/src/routes/restaurants.routes.ts,False,,express
/events,GET,server/src/routes/security.routes.ts,True,,express
/stats,GET,server/src/routes/security.routes.ts,True,,express
/test,POST,server/src/routes/security.routes.ts,True,,express
/config,GET,server/src/routes/security.routes.ts,True,,express
/,GET,server/src/routes/menu.routes.ts,False,,express
/items,GET,server/src/routes/menu.routes.ts,False,,express
/items/:id,GET,server/src/routes/menu.routes.ts,False,,express
/categories,GET,server/src/routes/menu.routes.ts,False,,express
/sync-ai,POST,server/src/routes/menu.routes.ts,False,,express
/cache/clear,POST,server/src/routes/menu.routes.ts,False,,express
/,GET,server/src/routes/health.routes.ts,False,,express
/status,GET,server/src/routes/health.routes.ts,False,,express
/ready,GET,server/src/routes/health.routes.ts,False,,express
/live,GET,server/src/routes/health.routes.ts,False,,express
/healthz,GET,server/src/routes/health.routes.ts,False,,express
/devices,GET,server/src/routes/terminal.routes.ts,True,,express
/checkout,POST,server/src/routes/terminal.routes.ts,True,,express
/checkout/:checkoutId,GET,server/src/routes/terminal.routes.ts,True,,express
